date;time;temp@1m;umid@1m;temp@3.5m;umid@3.5m
2015-09-01;11:42;35.06;27.41;27.09;35.52
2015-09-01;11:48;34.72;26.45;25.48;37.73
2015-09-01;11:54;35.24;26.77;26.45;37.57
2015-09-01;12:00;34.37;26.77;25.8;36.94
2015-09-01;12:06;34.37;26.12;24.83;38.67
2015-09-01;12:12;34.72;26.45;25.8;38.52
2015-09-01;12:18;34.54;26.77;26.12;35.68
2015-09-01;12:24;34.37;26.12;24.51;38.36
2015-09-01;12:30;34.54;26.77;26.45;36.94
2015-09-01;12:36;33.5;26.45;25.16;36.94
2015-09-01;12:42;33.68;26.45;25.48;37.41
2015-09-01;12:48;;;26.12;35.05
2015-09-01;12:54;34.37;26.77;25.48;37.57
2015-09-01;13:00;32.98;26.12;26.77;35.36
2015-09-01;13:06;34.02;26.77;24.51;37.41
2015-09-01;13:12;32.81;25.8;;
2015-09-01;13:18;33.68;26.45;26.45;35.52
2015-09-01;13:24;33.5;26.77;27.09;34.89
2015-09-01;13:30;32.29;25.8;25.16;37.57
2015-09-01;13:36;32.98;26.45;26.45;35.52
2015-09-01;13:42;32.98;26.77;27.09;34.57
2015-09-01;13:48;32.11;25.8;25.16;37.41
2015-09-01;13:54;32.46;26.45;26.12;35.52
2015-09-01;14:00;32.29;26.45;26.77;34.42
2015-09-01;14:06;31.94;26.77;27.09;34.26
2015-09-01;14:12;31.77;26.45;24.83;35.68
2015-09-01;14:18;32.11;26.12;25.48;36.62
2015-09-01;14:24;32.29;26.45;26.45;34.89
2015-09-01;14:30;31.77;26.77;27.09;34.73
2015-09-01;14:36;31.77;26.77;27.41;34.26
2015-09-01;14:42;32.11;26.77;25.48;34.42
2015-09-01;14:48;32.46;26.45;26.12;35.84
2015-09-01;14:54;32.81;27.09;25.8;34.57
2015-09-01;15:00;32.81;26.45;26.12;36.15
2015-09-01;15:06;32.98;27.09;25.8;34.73
2015-09-01;15:12;32.81;26.12;24.83;37.1
2015-09-01;15:18;32.81;26.77;26.77;35.2
2015-09-01;15:24;32.98;26.45;25.16;36.15
2015-09-01;15:30;33.15;26.77;27.09;35.2
2015-09-01;15:36;32.63;26.45;25.16;36.47
2015-09-01;15:42;33.33;26.45;26.12;36.15
2015-09-01;15:48;33.33;27.09;26.45;34.73
2015-09-01;15:54;33.15;26.12;25.48;37.41
2015-09-01;16:00;34.02;27.09;27.41;35.36
2015-09-01;16:06;33.33;26.77;25.48;36.15
2015-09-01;16:12;33.85;26.45;26.45;36.47
2015-09-01;16:18;33.85;26.77;25.8;35.36
2015-09-01;16:24;33.33;26.45;26.12;36.78
2015-09-01;16:30;33.15;27.09;27.09;34.1
2015-09-01;16:36;32.29;26.12;25.16;37.25
2015-09-01;16:42;32.63;26.77;27.09;35.05
2015-09-01;16:48;32.29;26.12;24.83;36.47
2015-09-01;16:54;32.63;26.77;26.77;35.05
2015-09-01;17:00;32.63;26.12;25.16;36.47
2015-09-01;17:06;33.15;26.45;26.77;35.2
2015-09-01;17:12;33.68;26.77;27.41;34.73
2015-09-01;17:18;32.63;26.12;24.83;36.78
