#1
double data(6404,3)
1080,298.63,40.61
1440,298.79,42.17
1800,298.79,42.175
2160,298.79,42.175
2880,298.63,40.27
3240,299.115,41.83
3600,298.95,41.74
3960,298.79,41.825
4320,298.63,41.65
4680,298.79,42.085
5040,298.63,41.825
5400,298.63,41.48
5760,298.95,43.39
6480,298.63,39.92
6840,298.95,41.57
7560,298.63,40.27
7920,298.955,41.305
8280,298.47,41.48
8640,298.79,41.655
9000,298.31,41.74
9360,298.47,41.48
9720,298.47,41.31
10080,298.63,41.22
10440,298.47,41.305
10800,298.47,41.48
11160,298.47,41.655
11520,298.31,41.65
11880,298.47,41.395
12240,298.47,41.22
12600,298.31,41.57
12960,298.47,41.825
13320,298.47,41.565
13680,299.115,41.48
14040,298.47,41.395
14400,298.47,41.39
14760,299.27,43.39
15120,298.31,41.395
15480,298.31,41.655
15840,298.31,41.395
16200,298.31,41.48
16560,298.31,41.395
16920,298.31,41.565
17280,298.31,41.39
17640,298.47,41.31
18000,298.31,41.305
18360,298.31,41.65
18720,298.31,41.305
19080,298.31,41.74
19440,298.47,41.395
19800,298.47,41.565
20160,298.145,41.825
20520,298.31,41.825
20880,298.31,39.57
21600,298.145,41.74
21960,298.31,41.825
22320,298.145,42.09
22680,298.465,42
23040,298.145,42
23400,298.145,41.91
23760,298.145,41.825
24480,298.31,44.08
24840,298.145,42.605
25200,298.145,42.605
25560,298.145,42.17
26280,298.145,42
26640,298.145,42.09
27000,298.145,42.345
27360,298.145,42.345
28080,297.98,42.345
28440,298.145,42.695
28800,298.145,42.95
29160,298.145,42.95
29520,298.145,42.955
29880,298.145,42.78
30240,298.145,42.955
30600,298.145,43.04
30960,297.98,40.96
31680,298.145,43.04
32040,298.145,43.215
32400,298.145,43.305
32760,298.465,43.04
33120,298.145,43.3
33480,Nan,Nan
34200,297.98,43.565
34560,297.98,43.475
34920,297.98,43.475
35280,Nan,Nan
36000,297.98,43.735
36360,297.98,41.48
37080,298.145,44.08
37440,300.4,43.82
38160,298.145,44.08
38520,298.145,43.91
38880,298.465,43.91
39240,297.98,43.995
39960,298.145,43.91
40320,298.31,44.08
40680,298.63,44.085
41040,298.305,43.825
41400,298.31,43.995
41760,298.31,41.83
42120,298.31,44.08
42480,298.31,46.16
43200,298.31,44.165
43560,298.145,44.255
43920,298.145,44.255
44280,298.31,46.16
45000,298.31,44.255
45360,298.47,44.085
45720,298.47,43.91
46080,298.47,44.165
46440,298.31,43.905
46800,298.31,44.165
47160,298.31,43.995
47520,298.63,45.64
47880,298.31,43.735
48240,298.31,43.825
48600,298.31,43.82
48960,298.31,43.56
49320,298.31,43.65
49680,298.31,43.995
50040,298.31,43.825
50400,298.31,43.56
50760,298.31,43.475
51120,298.31,43.475
51480,298.63,43.565
51840,298.31,43.3
52200,298.31,43.3
52560,298.47,43.215
52920,298.47,43.13
53280,297.985,43.3
54000,298.31,43.125
54360,298.31,43.045
55800,298.145,42.865
56160,298.145,42.61
56520,298.145,43.04
56880,297.98,43.3
57240,298.305,43.385
59400,297.98,43.65
59760,297.98,43.56
61200,297.82,43.995
61560,298.145,44.17
61920,298.305,43.82
62280,297.82,43.905
62640,297.985,44.255
63000,297.82,44.43
63360,297.82,44.345
65160,Nan,Nan
65520,297.82,44.95
65880,297.82,44.86
66240,298.145,45.21
66960,Nan,Nan
67320,297.82,45.555
67680,297.82,45.555
68040,297.66,45.555
68760,Nan,Nan
69120,297.5,45.815
69480,297.66,45.9
69840,297.66,46.075
70200,297.66,46.075
70560,297.5,46.51
70920,297.5,46.505
71280,297.5,46.165
71640,297.5,46.595
72000,297.5,46.77
72360,297.5,46.335
72720,297.5,46.335
73080,Nan,Nan
73800,297.825,46.855
74160,297.5,46.945
74520,297.5,46.86
74880,Nan,Nan
75600,297.5,46.94
75960,297.34,47.29
76320,297.66,47.29
76680,297.5,47.03
77040,297.5,47.29
77400,297.5,47.205
77760,297.5,47.55
78120,297.5,47.375
78480,297.5,47.64
78840,297.34,47.725
80280,297.66,49.8
80640,297.5,47.81
81000,297.34,47.895
81360,297.02,45.82
82080,297.34,49.8
82440,297.34,47.81
82800,297.34,47.64
83160,297.02,45.99
