#1
double data(6794,3)
0,301.855,46.595
360,301.855,46.42
720,301.855,46.25
1080,301.855,46.425
1440,302.015,46.42
1800,302.015,46.335
2160,302.34,45.815
2520,302.18,45.99
2880,302.18,45.99
3240,302.34,45.985
3600,302.18,45.905
3960,302.18,45.815
4320,304.435,45.73
4680,302.5,45.38
5040,302.34,45.645
5400,299.6,41.31
5760,302.34,45.465
6120,302.34,45.555
6480,302.34,45.645
6840,302.34,45.21
7200,302.34,45.12
7560,302.5,45.38
7920,302.5,45.035
8280,302.5,45.035
8640,302.34,45.035
9000,302.825,44.69
9360,302.5,44.69
9720,302.665,44.6
10080,302.665,44.865
10440,302.5,44.515
10800,302.5,44.685
11160,302.18,45.21
11520,302.5,44.775
11880,302.5,44.6
12240,302.665,44.425
12600,303.145,44.425
12960,302.665,44.34
13320,302.34,44.605
13680,302.5,44.43
14040,302.5,44.6
14400,302.5,44.515
14760,302.5,44.69
15120,302.825,44.43
15480,302.825,44.43
15840,302.985,44.6
16200,302.665,44.6
16560,302.665,44.6
16920,302.825,44.515
17280,303.31,44.515
17640,302.985,44.775
18000,302.665,44.775
18360,302.5,44.86
18720,302.015,45.12
19080,301.855,45.815
19440,301.375,46.42
19800,301.21,46.51
20160,300.725,47.03
20520,300.565,46.685
20880,300.24,45.82
21240,301.375,45.295
21600,300.885,44.6
21960,303.15,48.76
22320,300.725,43.735
22680,301.045,43.3
23040,301.375,43.3
23400,300.885,43.56
23760,301.045,43.56
24120,301.21,43.73
24480,301.21,43.13
24840,300.565,43.56
25200,301.045,43.125
25560,301.535,43.56
25920,301.535,43.21
26280,300.725,42.95
26640,301.05,42.955
27000,301.37,42.78
27360,301.375,42.865
27720,301.05,42.955
28080,300.885,43.13
28440,301.37,42.955
28800,301.535,42.865
29160,301.535,42.865
29520,301.05,43.82
29880,301.21,43.645
30240,301.375,43.215
30600,300.885,44.165
30960,301.37,43.39
31320,301.695,42.78
31680,301.21,43.56
32040,301.21,43.04
32400,301.695,42.695
32760,301.045,43.125
33120,298.31,37.49
33480,297.98,38.01
33840,298.31,37.66
34200,297.66,36.97
34560,297.98,37.14
34920,298.31,37.32
35280,298.31,39.05
35640,298.31,39.05
36000,298.31,39.4
36360,298.63,39.05
36720,298.63,38.88
37080,298.95,38.53
37440,298.95,38.36
37800,298.95,38.53
38160,298.95,38.01
38520,298.95,38.36
38880,298.95,38.36
39240,298.63,38.36
39600,298.95,38.53
39960,298.95,38.01
40320,298.95,38.53
40680,298.95,37.84
41040,298.95,37.14
41400,299.27,37.14
41760,299.27,36.97
42120,299.27,37.14
42480,299.27,36.8
42840,299.27,37.14
43200,299.27,36.97
43560,298.95,36.97
43920,299.27,36.28
44280,299.27,36.45
44640,299.27,36.28
45000,299.27,36.28
45360,298.95,35.93
45720,299.27,35.93
46080,298.95,35.76
46440,299.27,35.41
46800,298.95,35.58
47160,298.95,35.76
47520,298.31,35.58
47880,298.63,35.41
48240,298.63,35.41
48600,298.63,35.41
48960,298.63,35.06
49320,298.31,35.06
49680,298.31,35.06
50040,298.31,35.06
50400,298.31,35.06
50760,298.31,34.89
51120,298.31,34.72
51480,298.31,35.06
51840,298.31,34.89
52200,298.31,34.89
52560,298.63,34.37
52920,298.63,34.72
53280,298.63,34.72
53640,298.63,34.37
54000,298.95,34.54
54360,298.95,34.2
54720,Nan,Nan
55080,298.63,34.89
55440,298.95,34.54
55800,299.27,34.72
56160,298.95,35.06
56520,298.95,34.89
56880,298.95,35.41
57240,298.95,35.76
57600,298.95,35.41
57960,298.95,35.76
58320,298.95,35.58
58680,298.95,35.76
59040,298.63,37.14
59400,298.63,36.97
59760,298.63,37.32
60120,298.31,37.32
60480,298.95,37.49
60840,298.63,37.14
61200,298.63,37.66
61560,298.31,37.84
61920,298.63,38.01
62280,298.31,37.84
62640,297.98,38.7
63000,298.31,38.36
63360,298.63,37.66
63720,298.31,38.36
64080,298.31,37.84
64440,298.63,37.66
64800,298.31,37.49
65160,298.31,37.14
65520,298.63,36.45
65880,298.63,36.45
66240,298.63,36.62
66600,298.31,36.1
66960,298.31,36.28
67320,298.63,36.45
67680,298.63,35.93
68040,298.31,35.93
68400,298.63,36.1
68760,298.31,35.76
69120,298.31,36.1
69480,298.63,36.1
69840,298.63,35.93
70200,297.98,35.76
70560,298.31,35.58
70920,298.63,35.58
71280,297.98,35.58
71640,298.31,35.58
72000,298.63,35.41
72360,298.63,35.93
72720,298.31,36.28
73080,298.31,36.28
73440,298.63,36.45
73800,298.63,36.28
74160,297.98,38.7
74520,297.98,39.05
74880,298.31,39.22
75240,298.31,39.92
75600,298.31,41.65
75960,298.31,41.65
76320,298.31,42.87
76680,298.31,43.21
77040,298.31,44.08
77400,297.98,45.82
77760,298.31,45.47
78120,298.31,46.34
78480,297.98,47.9
78840,298.31,48.42
79200,297.98,48.94
79560,297.98,49.28
79920,297.98,49.28
80280,298.31,49.63
80640,298.31,49.28
81000,298.31,49.8
81360,298.31,49.28
81720,298.31,49.11
82080,298.31,48.94
82440,298.31,49.11
82800,298.31,48.76
83160,298.31,48.76
83520,298.31,48.24
83880,298.31,48.76
84240,298.31,48.59
84600,298.31,47.9
84960,298.31,47.72
85320,298.31,48.42
85680,298.31,48.07
86040,298.31,48.07
0,298.63,47.55
360,298.63,47.55
720,298.63,47.38
1080,Nan,Nan
1440,298.63,47.38
1800,298.63,47.2
2160,298.63,47.2
2520,298.63,47.03
2880,298.63,46.86
3240,298.63,46.86
3600,298.63,46.68
3960,298.63,47.2
4320,298.63,46.68
4680,298.63,46.68
5040,298.63,46.51
5400,298.63,46.86
5760,298.63,46.51
6120,298.63,46.34
6480,298.95,46.34
6840,298.63,46.34
7200,298.63,46.86
7560,298.63,46.51
7920,298.63,46.51
8280,298.63,46.51
8640,298.63,46.16
9000,298.95,45.99
9360,298.95,46.34
9720,298.95,46.34
10080,298.95,46.34
10440,298.95,46.34
10800,298.95,46.16
11160,298.95,46.51
11520,298.95,46.51
11880,298.95,45.99
12240,298.95,46.16
12600,298.95,45.99
12960,298.95,45.82
13320,298.95,45.99
13680,298.95,45.99
14040,298.95,45.99
14400,298.95,45.99
14760,298.95,46.16
15120,298.95,45.99
15480,298.95,46.34
15840,298.95,46.51
16200,298.95,45.99
16560,298.95,46.16
16920,298.95,46.34
17280,298.95,46.16
17640,298.95,46.34
18000,298.95,45.82
18360,298.95,46.16
18720,298.63,47.38
19080,298.31,47.72
19440,297.98,47.9
19800,297.66,47.9
20160,297.66,47.38
20520,297.34,47.03
20880,297.02,45.99
21240,297.34,46.16
21600,297.66,45.3
21960,297.34,44.6
22320,297.34,44.08
22680,297.66,44.25
23040,297.66,44.08
23400,297.98,44.25
23760,297.34,44.25
24120,297.66,44.25
24480,297.66,44.08
24840,297.66,44.25
25200,297.34,43.21
25560,297.66,43.39
25920,297.66,43.91
26280,297.66,43.21
26640,297.98,43.39
27000,297.34,43.21
27360,297.34,42.87
27720,297.66,42.69
28080,297.66,42.69
28440,297.98,43.04
28800,297.98,43.39
29160,297.98,43.56
29520,298.31,43.91
29880,297.66,43.91
30240,297.98,43.39
30600,297.98,43.21
30960,297.34,43.56
31320,297.66,43.21
31680,297.98,42.87
32040,297.34,42.87
32400,297.66,42.87
32760,297.98,42.69
33120,297.34,42.17
33480,297.66,42
33840,Nan,Nan
34200,297.98,42
34560,298.31,42.52
34920,298.31,42
35280,298.31,42.52
35640,298.63,42.87
36000,298.31,42
36360,298.63,42.35
36720,298.31,41.48
37080,298.31,42.52
37440,298.63,42.17
37800,298.63,41.48
38160,298.63,41.48
38520,298.63,40.96
38880,298.95,41.83
39240,298.63,41.48
39600,298.63,41.48
39960,298.95,41.83
40320,298.95,41.65
40680,298.95,41.65
41040,298.95,41.83
41400,298.95,41.48
41760,298.95,41.83
42120,298.95,41.65
42480,298.95,42
42840,299.27,41.65
43200,298.95,41.31
43560,298.95,41.65
43920,298.95,41.65
44280,298.95,41.13
44640,298.95,41.13
45000,298.95,40.27
45360,299.27,40.44
45720,299.6,40.61
46080,299.27,39.22
46440,299.27,38.7
46800,299.27,37.49
47160,299.27,37.32
47520,299.27,38.01
47880,299.27,38.36
48240,299.27,38.7
48600,298.95,38.53
48960,298.63,38.88
49320,298.95,39.05
49680,298.95,39.05
50040,298.95,39.22
50400,299.27,38.88
50760,299.27,39.22
51120,299.27,38.88
51480,298.95,38.88
51840,298.95,38.88
52200,298.95,39.05
52560,298.95,39.05
52920,298.95,39.75
53280,299.27,40.09
53640,299.27,40.79
54000,299.27,41.83
54360,299.27,42.69
54720,299.27,42
55080,299.27,41.65
55440,298.95,41.31
55800,298.95,41.13
56160,298.63,40.44
56520,298.63,40.44
56880,298.63,39.92
57240,298.63,39.92
57600,298.63,39.4
57960,298.63,38.36
58320,298.95,38.7
58680,298.95,38.36
59040,298.95,38.18
59400,298.95,38.7
59760,298.95,38.7
60120,298.63,39.05
60480,298.95,39.57
60840,298.63,38.53
61200,298.95,39.4
61560,298.63,39.92
61920,298.63,40.27
62280,298.63,40.44
62640,298.95,40.61
63000,298.63,40.27
63360,298.63,40.09
63720,298.95,39.57
64080,298.63,38.88
64440,298.63,39.05
64800,298.95,38.88
65160,298.95,38.7
65520,298.95,38.36
65880,298.63,38.36
66240,298.95,38.18
66600,Nan,Nan
