#1
double data(6369,3)
1080,312.98,25.64
1440,312.72,25.48
1800,312.895,26.605
2160,312.98,25.48
2880,312.72,25.48
3240,312.9,25.48
3600,313.07,25.32
3960,313.16,25.155
4320,312.635,25.155
4680,313.245,25.155
5040,312.895,24.995
5400,313.07,25.155
5760,313.155,24.995
6480,313.33,24.995
6840,313.245,24.995
7920,312.98,24.995
8280,312.81,24.835
8640,313.07,25.155
9000,313.415,24.835
9360,313.155,24.835
9720,313.24,24.835
10080,313.325,25.155
10440,313.59,24.835
10800,313.505,24.675
11160,313.24,24.835
11520,313.505,24.675
11880,313.155,24.675
12240,313.68,24.675
12600,313.5,24.675
12960,313.68,24.515
13320,313.5,24.675
13680,313.415,24.675
14040,313.59,24.675
14400,313.68,24.675
14760,313.59,24.835
15120,313.59,24.675
15480,313.59,24.675
15840,313.59,24.675
16200,313.24,24.675
16560,313.675,24.675
16920,313.505,24.675
17280,313.415,24.675
17640,313.59,24.675
18000,313.415,24.675
18360,313.85,24.675
18720,313.415,24.675
19080,313.59,24.515
19440,313.415,24.675
19800,313.59,24.675
20160,314.025,24.675
20520,313.765,24.515
21600,313.765,24.515
21960,313.24,25.16
22320,314.2,25.805
22680,314.11,24.35
23040,314.37,24.515
23400,314.195,24.515
23760,315.5,23.54
24480,Nan,Nan
24840,314.285,24.515
25200,314.195,24.35
25560,314.455,24.995
26280,Nan,Nan
26640,314.11,24.515
27000,314.11,24.515
27360,314.545,24.675
28080,Nan,Nan
28440,314.63,24.35
28800,314.63,24.515
29160,314.285,24.675
29520,314.63,24.675
29880,314.63,24.675
30240,314.11,24.675
30600,314.285,24.675
30960,314.285,24.835
31680,Nan,Nan
32040,313.675,26.45
32400,313.675,24.995
32760,314.02,25.32
33120,314.37,24.675
33480,313.76,25.16
34200,314.37,24.675
34560,314.46,24.675
34920,314.455,24.675
35280,313.76,25.16
36000,314.63,24.675
36360,314.89,24.835
37080,314.63,24.83
37440,314.285,24.995
38160,Nan,Nan
38520,313.415,25.805
38880,313.415,25.64
39240,313.07,25.48
40320,313.065,25.64
40680,313.07,25.805
41040,312.725,25.64
41400,312.545,26.285
41760,312.635,25.965
42120,312.46,25.965
42480,Nan,Nan
43200,312.375,26.285
43560,312.2,26.285
43920,312.115,26.285
44280,Nan,Nan
45000,312.025,26.445
45360,312.115,26.285
45720,312.375,26.445
46080,312.29,26.285
46440,312.29,26.285
46800,312.375,26.125
47160,312.55,26.125
47520,312.285,27.255
47880,312.115,26.285
48240,312.725,25.965
48600,312.46,26.445
48960,312.55,26.125
49320,312.635,25.965
49680,312.81,25.8
50040,312.55,25.8
50400,312.72,25.8
50760,312.81,25.965
51120,312.375,25.965
51480,312.025,26.445
51840,311.77,26.285
52200,311.855,26.125
52560,311.94,26.125
52920,311.77,26.125
54000,311.68,26.125
54360,310.29,26.77
55800,312.72,25.48
56160,312.72,25.32
56520,313.16,25.16
56880,313.505,24.995
57240,314.285,24.835
59400,314.285,24.835
59760,314.8,24.83
61200,313.935,24.835
61560,314.455,24.835
61920,314.54,24.835
62280,314.545,24.835
62640,314.63,24.675
63000,315.065,24.675
63360,315.5,23.87
65160,314.11,24.83
65520,315.67,24.185
65880,315.755,24.51
66240,316.105,24.185
66960,315.15,24.83
67320,316.45,24.35
67680,317.75,23.22
68040,316.625,24.025
68760,Nan,Nan
69120,316.625,23.705
69480,316.975,23.865
69840,317.145,23.705
70200,316.8,23.865
70560,317.235,23.705
70920,317.06,23.705
71280,317.315,23.705
71640,317.405,23.705
72000,317.32,23.865
72360,317.23,23.865
72720,317.32,24.025
73080,315.84,24.51
73800,317.32,23.705
74160,317.405,23.705
74520,317.32,23.705
74880,315.67,24.51
75600,317.925,23.705
75960,317.75,23.705
76320,318.01,23.705
76680,317.665,23.545
77040,317.925,23.705
77400,317.84,23.545
77760,318.185,23.705
78120,318.185,23.545
78480,317.925,23.545
78840,318.355,23.545
80280,320.35,22.58
80640,318.36,23.385
81000,318.355,23.385
81360,316.54,24.19
82080,320.18,22.58
82440,318.53,23.385
82800,318.445,23.385
83160,317.06,24.19
85320,318.62,23.385
85680,320.53,22.58
0,318.615,23.705
360,318.53,23.385
720,318.53,23.385
1080,318.705,23.385
1440,319.05,23.385
1800,319.055,23.22
2160,318.62,23.385
2520,318.705,23.385
2880,318.79,23.385
3240,318.795,23.545
3600,319.135,23.545
3960,319.225,23.385
4320,318.795,23.385
4680,318.965,23.385
5040,318.965,23.22
5400,319.05,23.705
5760,319.05,23.385
6120,319.055,23.545
6480,319.05,23.545
6840,318.79,23.545
7200,319.225,23.22
7560,319.055,23.385
7920,319.135,23.22
8280,319.14,23.385
8640,318.965,23.22
9000,319.315,23.22
9360,319.135,23.06
9720,319.135,23.06
10080,319.31,23.06
10440,319.31,23.545
10800,319.57,23.06
11160,319.31,23.385
11520,319.92,23.225
11880,320.005,22.9
12240,319.83,23.06
12600,319.57,23.225
12960,319.66,22.9
13320,319.83,22.9
13680,320.18,22.9
14040,319.915,22.9
14400,319.83,22.9
14760,320.09,22.9
15120,319.915,22.9
15480,320.005,22.9
15840,319.745,22.9
16200,319.915,22.9
16560,320.005,22.9
16920,319.745,22.9
17280,319.745,23.225
17640,319.83,22.9
18000,320.09,24.835
18360,319.915,22.9
18720,320.175,22.9
19080,319.745,22.9
19440,320.175,22.9
19800,320.175,22.735
20160,320.005,22.9
20520,320.09,22.735
20880,320.005,22.895
21240,319.92,22.735
21600,320.005,22.575
21960,320.18,22.575
22320,319.83,22.575
22680,319.92,22.735
23040,319.575,22.575
23400,319.745,23.06
23760,319.485,22.735
24120,319.485,22.895
24480,319.31,22.895
24840,321.22,22.58
25200,318.965,22.895
25560,319.05,23.22
25920,318.62,23.225
26280,318.705,23.06
26640,318.53,25.32
27000,318.62,23.385
27360,318.355,23.385
27720,318.535,23.225
28080,318.185,23.385
28440,318.185,23.225
28800,318.27,23.545
29160,318.015,23.545
29520,317.75,23.705
29880,317.06,23.87
30240,317.835,23.545
30600,318.01,23.87
30960,317.49,24.03
31320,317.32,23.705
31680,317.145,23.87
32040,317.32,23.87
32400,317.32,23.87
32760,317.055,24.19
33120,316.45,24.35
33480,316.625,24.51
33840,316.105,24.675
34200,315.93,24.51
34560,315.93,24.995
34920,315.41,25.155
35280,315.06,24.995
35640,315.06,25.48
36000,314.805,25.315
36360,314.805,25.48
36720,314.805,25.64
37080,314.37,25.315
37440,314.455,25.64
37800,314.105,26.93
38160,314.105,26.285
38520,314.11,26.285
38880,313.85,26.45
39240,313.675,26.61
39600,313.585,26.93
39960,313.5,26.93
40320,313.33,27.255
40680,312.635,27.575
41040,312.635,28.06
41400,312.895,28.865
41760,313.415,26.93
42120,312.895,27.735
42480,312.55,27.735
42840,312.375,27.735
43200,312.81,27.575
43560,312.115,28.06
43920,311.855,28.38
44280,312.115,28.38
44640,311.42,28.545
45000,312.025,28.385
45360,311.51,28.87
45720,311.16,29.03
46080,310.99,29.19
46440,310.645,29.51
46800,310.465,29.675
47160,310.47,29.51
47520,310.465,29.35
47880,310.295,29.35
48240,309.86,29.35
48600,309.95,31.605
48960,309.86,30.155
49320,309.95,29.67
49680,309.6,29.835
50040,309.69,29.51
50400,309.945,28.705
50760,309.69,29.19
51120,309.6,29.19
51480,309.425,29.03
51840,308.99,29.35
52200,308.905,29.835
52560,308.905,29.51
52920,309.08,29.51
53280,308.815,29.67
53640,309.08,29.835
54000,308.645,29.835
54360,309.425,29.19
54720,309.08,29.35
55080,309.08,29.51
55440,308.82,29.35
55800,308.99,29.67
56160,308.905,29.19
56520,309.075,29.35
56880,309.08,29.03
57240,309.255,29.51
57600,309.08,29.35
57960,308.815,29.51
58320,309.08,29.51
58680,309.165,29.67
59040,309.08,29.835
59400,309.165,29.51
59760,309.25,29.35
60120,309.6,29.185
60480,309.6,28.865
60840,310.21,28.705
61200,310.47,28.865
61560,312.9,27.09
61920,310.64,28.545
62280,310.38,28.865
62640,310.555,28.545
63000,310.99,28.545
63360,311.165,28.22
63720,311.165,28.22
64080,311.16,28.06
64440,311.335,29.995
64800,311.335,27.9
65160,311.25,27.9
65520,311.335,28.06
65880,311.685,27.735
66240,311.855,27.735
66600,311.855,27.415
66960,312.03,27.575
67320,312.115,27.255
67680,312.03,27.255
68040,312.29,27.255
68400,310.64,28.06
68760,312.375,26.93
69120,312.635,26.93
69480,312.55,26.93
69840,312.81,26.93
70200,312.635,26.765
70560,312.81,26.765
70920,313.33,26.765
71280,312.98,26.605
71640,313.155,26.445
72000,313.415,26.605
72360,313.59,26.445
72720,313.675,26.445
73080,313.675,26.445
73440,313.765,26.445
73800,313.68,26.125
74160,313.765,26.445
74520,313.94,25.965
74880,314.11,25.8
75240,314.195,25.8
75600,314.545,25.8
75960,314.54,25.965
76320,314.63,25.64
76680,314.545,25.64
77040,314.89,25.64
77400,314.63,25.64
77760,314.98,25.8
78120,314.975,25.48
78480,314.805,25.48
78840,315.065,25.48
79200,314.89,25.32
79560,315.15,26.93
79920,314.89,25.64
80280,315.15,25.16
80640,315.15,25.16
81000,315.065,25.16
81360,315.065,25.16
81720,315.065,25.16
82080,315.495,24.995
82440,315.32,24.995
82800,315.5,24.995
83160,315.325,24.995
83520,315.67,24.995
83880,315.58,25.32
84240,315.41,24.835
84600,315.325,24.995
84960,315.755,24.835
85320,315.93,24.995
85680,315.755,24.67
86040,315.67,24.835
0,315.755,24.67
360,315.32,24.83
1800,315.93,24.51
2160,315.67,24.83
3600,315.93,24.51
3960,316.105,24.51
4320,316.105,24.51
4680,316.19,24.67
5040,316.19,24.83
5400,316.365,24.51
5760,315.5,24.83
6480,315.84,24.51
6840,316.535,24.51
7200,316.365,24.51
7560,316.54,24.51
7920,316.275,24.51
8280,316.795,24.35
8640,316.535,24.35
9000,316.795,24.35
9360,316.71,24.35
9720,316.885,24.51
10080,316.8,24.19
10440,317.055,24.19
10800,316.97,24.19
11160,316.795,24.19
11520,316.97,24.35
11880,316.8,24.19
12240,317.06,24.19
12600,316.97,24.19
12960,317.14,24.19
13320,317.14,24.51
13680,317.145,24.19
14040,317.315,24.35
14400,317.055,24.35
14760,317.315,24.025
15120,317.58,24.19
15480,317.49,24.025
15840,317.49,24.19
17280,317.575,24.025
17640,317.495,23.865
18000,317.495,24.025
18360,318.62,23.54
19080,317.575,24.19
19440,317.84,24.025
20160,316.88,24.51
20520,317.84,24.025
20880,317.925,23.865
21240,318.01,23.865
21600,317.75,24.025
21960,318.01,23.865
22320,317.75,23.865
22680,317.665,23.865
23040,318.015,23.865
23400,318.185,24.19
23760,319.14,23.54
24120,318.01,24.03
24480,318.01,24.025
24840,317.925,24.025
25200,317.925,24.025
25560,318.97,23.87
25920,317.835,24.35
26280,318.015,24.19
26640,317.49,24.19
27000,317.315,24.35
27360,317.58,24.35
27720,317.23,24.51
28080,317.145,24.51
28440,316.97,24.51
28800,316.8,24.67
29160,316.275,24.995
29520,316.015,24.835
29880,315.93,24.995
30240,316.02,24.995
30600,315.845,25.155
30960,315.585,25.155
31320,315.495,25.315
31680,315.67,25.48
32040,315.235,25.315
32400,315.325,25.475
32760,315.15,25.64
33120,314.975,25.64
33480,314.8,25.64
33840,315.15,25.8
34200,314.805,25.96
34560,314.37,26.125
34920,314.025,26.285
35280,316.36,25.16
36360,311.51,28.06
36720,313.59,26.77
37080,313.415,27.09
37440,312.895,27.255
37800,315.5,25.8
38160,312.895,27.415
38520,312.805,27.575
38880,312.635,27.9
39240,312.635,27.895
39600,312.46,28.06
39960,312.29,28.22
40320,312.2,28.385
40680,311.685,29.03
41040,311.25,29.995
41400,310.21,29.51
41760,310.73,29.35
42120,310.815,29.675
42480,310.905,29.51
42840,310.9,29.67
43200,310.64,29.67
43560,311.945,29.51
43920,311.335,29.67
44280,310.815,29.835
44640,311.245,29.995
45000,311.075,29.19
45360,310.725,29.03
46080,313.76,26.77
46440,309.775,29.995
47520,310.645,29.35
47880,311.77,29.35
48240,313.325,28.865
48600,313.415,29.03
48960,312.805,29.675
49320,314.37,29.51
49680,314.455,29.19
50040,315.67,29.67
50400,314.89,29.835
50760,315.06,30.315
51120,314.89,29.67
53280,311.245,29.51
53640,310.725,29.835
54000,310.295,29.67
54360,309.95,29.83
54720,309.77,29.67
55080,309.775,29.67
55440,309.25,29.995
56160,312.2,27.41
56520,308.645,29.83
56880,308.73,29.67
57240,308.385,29.83
57960,311.68,27.41
58320,308.82,29.35
58680,308.035,29.19
59040,308.56,29.67
59400,307.865,29.83
59760,308.735,29.35
60120,308.73,29.025
60480,308.47,29.35
60840,308.995,28.705
61200,308.905,29.025
61560,309.08,29.025
61920,309.25,28.705
62280,309.425,28.545
62640,309.165,28.545
63360,309.515,28.865
63720,309.77,28.545
64080,310.12,28.06
64440,309.6,28.22
64800,309.685,28.38
65160,Nan,Nan
65880,309.77,28.22
66240,310.21,29.35
66600,310.035,28.06
66960,310.555,28.545
67320,310.465,28.22
67680,310.64,28.06
68040,310.73,27.9
68400,310.815,27.735
68760,Nan,Nan
69840,311.165,27.575
70200,311.25,27.575
70560,311.335,27.415
70920,311.855,27.255
71280,311.595,27.255
71640,311.855,27.255
72000,311.855,27.255
72360,312.03,27.095
72720,312.205,26.93
73080,312.2,26.93
73440,312.46,26.93
73800,312.375,26.765
74160,312.72,26.93
74880,Nan,Nan
75240,312.895,26.765
76320,313.415,26.765
76680,313.765,26.765
77040,313.94,26.605
77400,313.85,26.605
77760,313.94,26.605
78120,314.11,26.605
78480,314.37,26.605
78840,314.54,26.605
79200,314.285,26.605
79560,314.805,26.765
79920,314.715,26.93
80280,315.84,26.12
81000,314.98,26.605
81360,315.235,26.445
82080,314.46,27.41
82440,315.845,26.285
83520,316.015,26.445
83880,316.19,26.285
84240,316.275,25.96
85320,316.71,25.96
85680,316.885,25.96
86040,317.145,26.125
360,Nan,Nan
720,317.055,25.96
1080,317.315,25.96
1440,317.315,25.8
1800,317.49,25.96
2160,317.23,25.8
3600,317.84,25.8
3960,317.75,25.8
4680,317.92,25.8
5040,317.75,25.8
5400,317.665,25.64
5760,317.58,25.64
6120,317.925,25.64
6480,317.835,25.64
6840,317.835,25.64
7200,317.92,25.8
7560,318.01,25.64
7920,318.095,25.64
8280,318.095,25.64
8640,318.015,25.64
9000,318.01,25.8
9360,318.1,25.48
9720,318.36,25.32
10080,Nan,Nan
10800,318.36,25.64
11160,318.27,25.48
11520,318.36,25.48
11880,318.185,25.32
12240,318.36,25.32
12600,318.095,25.32
12960,Nan,Nan
14400,318.45,25.48
14760,319.05,25.32
15120,318.705,25.32
15480,318.88,25.32
15840,318.88,25.32
16200,318.88,25.155
16560,319.14,25.32
16920,319.49,25.155
17280,319.49,25.64
17640,319.49,25.48
18000,319.4,25.32
18360,319.4,25.155
18720,319.4,25.32
19080,319.575,25.155
19440,319.92,25.155
20160,318.97,25.48
20520,319.49,25.155
20880,320.01,24.83
21600,319.66,25.48
21960,319.575,25.155
22320,319.83,25.155
22680,319.66,25.48
23040,319.66,25.155
23400,319.66,25.155
23760,319.66,25.48
24120,319.49,25.32
24480,319.575,25.32
24840,319.485,26.285
25560,318.79,25.48
25920,319.055,25.48
26280,319.31,25.48
26640,319.315,25.48
27000,318.965,25.64
27360,318.62,25.64
27720,318.53,25.8
28080,318.62,25.8
28440,318.185,26.125
28800,318.36,26.285
29160,318.1,26.285
29520,317.75,26.285
29880,318.1,26.445
30240,317.84,26.445
30600,317.49,26.445
30960,317.665,26.445
31320,317.75,26.605
31680,317.405,26.605
32040,316.975,26.605
32400,316.885,26.765
32760,317.405,27.09
33120,316.885,26.93
33480,316.625,27.09
33840,316.45,27.09
34200,316.795,27.25
34560,316.535,27.41
34920,316.715,27.575
35280,318.62,26.45
36000,315.93,27.9
36360,315.755,28.06
36720,315.67,28.22
37080,315.15,28.385
37440,314.715,28.545
38160,311.51,30.64
38520,314.285,29.51
38880,313.85,29.025
39240,313.59,28.705
39600,313.155,28.865
39960,315.84,27.09
40680,308.73,31.61
41040,311.335,29.67
41760,307.52,31.93
42120,310.64,29.83
43200,309.865,29.83
43560,309.69,29.835
43920,309.08,30.155
44280,309.165,30.155
44640,308.905,30.155
45000,308.905,29.35
45360,308.73,29.025
45720,309.08,28.865
46080,311.33,27.41
46440,308.995,28.865
46800,309.08,28.705
47160,309.17,28.865
47880,311.68,27.41
48240,310.035,28.705
49320,310.12,28.865
49680,310.555,28.865
50040,310.725,28.865
50400,310.99,28.705
50760,311.16,28.705
51480,313.42,27.41
51840,311.42,28.865
52200,311.595,28.705
52560,311.51,28.705
52920,311.595,28.705
53280,310.29,30
54000,311.42,29.185
54360,311.075,29.025
54720,311.425,29.025
55080,311.245,29.025
55440,311.335,30.155
55800,311.25,29.35
56160,311.335,29.515
56520,310.9,29.515
56880,310.64,29.35
57240,310.73,29.025
57600,310.47,29.515
57960,310.21,29.185
58320,309.86,30.16
58680,309.43,29.515
59040,309.425,29.83
59760,312.2,27.41
60120,309.945,28.865
60480,309.43,29.19
60840,309.775,28.865
61200,308.99,28.545
61560,309.08,28.545
61920,308.995,28.705
62280,309.25,28.865
62640,308.645,28.865
63000,309.25,28.705
63360,306.65,29.35
64080,309.425,28.22
64440,309.165,28.38
64800,308.995,28.545
65160,308.21,29.03
65880,309.945,28.545
66240,311.16,27.09
66600,309.685,28.22
66960,309.685,28.06
67320,309.685,28.06
68400,310.38,28.06
68760,310.64,28.06
69120,310.985,28.06
69480,310.9,27.895
69840,309.6,28.7
70560,309.6,28.38
70920,311.425,27.735
71280,311.51,27.575
71640,311.595,27.735
72360,310.81,28.38
72720,312.115,27.415
73080,311.77,27.415
73440,312.2,27.255
73800,312.205,27.095
74160,312.725,27.095
74520,312.545,27.095
74880,312.805,27.255
75240,312.98,26.93
75600,313.155,27.095
75960,314.11,26.45
76680,312.72,27.74
77040,313.5,26.93
77400,314.98,26.45
77760,314.195,27.255
78120,314.11,27.095
78480,314.195,27.095
78840,314.37,26.93
79920,314.98,26.93
80280,315.065,27.095
80640,315.235,27.095
81000,315.065,26.93
81360,315.235,26.93
81720,315.325,27.255
82080,315.5,26.93
82440,315.58,26.93
82800,315.5,26.77
83160,315.67,27.095
84240,316.1,26.93
84600,316.19,26.77
84960,316.71,26.605
85320,316.45,26.77
85680,316.795,26.765
86040,316.97,26.445
0,317.23,26.445
360,317.055,26.445
720,317.315,26.445
1080,317.23,26.445
1440,317.315,26.285
1800,317.575,26.445
2160,317.49,26.285
2520,317.84,26.445
3600,318.01,26.285
3960,317.925,26.285
4320,318.185,26.12
4680,318.185,26.12
5040,317.84,26.285
6120,318.27,26.12
7200,318.275,26.12
7560,318.62,26.12
7920,318.53,26.285
8280,318.36,26.12
8640,318.36,26.285
9000,318.795,26.285
9360,318.71,26.285
10080,318.535,25.96
10440,318.795,25.96
11160,Nan,Nan
11520,318.705,25.96
12600,319.23,25.96
12960,319.23,25.96
13320,319.055,25.8
13680,319.14,25.96
14040,319.14,26.285
14400,319.315,25.8
14760,319.14,26.445
15120,319.66,25.96
15480,319.575,25.96
15840,319.575,25.96
16200,319.575,25.64
17280,319.92,25.64
17640,319.92,25.8
18360,319.83,26.125
18720,319.92,25.64
19080,319.66,25.64
19440,319.835,25.64
19800,319.83,25.64
20160,320.18,25.64
20520,320.005,25.96
20880,319.92,25.96
21240,320.265,25.48
21600,319.92,25.48
21960,319.92,25.48
22320,319.66,25.8
22680,319.835,25.48
23040,319.75,25.48
23400,319.83,25.48
23760,319.575,25.64
24120,319.4,25.48
24480,319.055,25.64
24840,318.79,25.64
25200,318.36,25.64
25560,318.36,26.125
25920,318.27,25.8
26280,317.84,25.8
26640,317.575,25.8
27000,317.06,26.45
27360,317.575,25.965
27720,317.315,26.125
28080,316.885,26.125
28440,316.795,26.445
28800,316.45,26.285
29160,316.54,26.605
29520,316.45,26.445
29880,316.19,26.445
30240,315.93,26.605
30600,315.585,26.445
30960,315.585,28.545
31320,315.41,26.605
31680,315.235,26.605
32040,315.235,27.25
32400,314.805,26.93
32760,314.975,27.09
33120,314.805,27.09
33480,314.63,27.41
33840,314.37,27.25
36000,313.415,28.22
36360,313.325,28.22
36720,313.065,28.385
37080,313.33,28.545
37440,312.635,28.705
37800,312.635,28.865
38160,312.375,28.385
38520,311.855,28.865
38880,311.595,29.025
39240,311.51,29.19
39600,311.075,28.865
39960,310.555,29.19
40320,310.12,29.185
40680,313.07,27.41
41400,309.34,29.83
41760,309.25,30.16
42120,308.99,29.83
42480,308.905,30.16
42840,308.82,29.995
43560,305.96,36.45
43920,308.47,30.155
44280,308.47,29.83
44640,308.125,30.48
45000,307.865,29.995
45360,307.955,29.67
45720,307.605,29.835
47160,303.18,32.9
47520,306.13,30.96
48600,306.045,30.155
48960,306.045,29.995
49320,305.785,29.83
49680,305.525,30.16
50040,305.525,30.64
50760,303.18,33.22
51120,305.44,30.64
52200,305.615,29.995
52560,308.56,27.41
53280,305.35,30.155
53640,305.525,29.995
54720,305.615,29.67
55080,302.66,30.96
55800,305.18,29.67
56160,303.01,32.25
56880,308.21,27.41
57240,305.355,29.67
57600,305.435,29.51
57960,305.18,29.995
58320,305.87,29.67
58680,305.875,29.835
59040,305.265,29.995
59400,305.35,30.96
59760,306.22,29.995
60120,305.875,29.835
60480,306.13,28.865
60840,306.565,29.51
61200,307.085,29.185
61560,307.26,29.025
61920,307,29.025
62280,307.175,30.64
62640,307.17,29.19
63000,307.605,28.865
63360,305.78,30
64800,307.695,28.545
65160,307.95,28.54
65520,307.775,28.545
66600,307.95,28.06
66960,308.645,28.22
67320,308.385,28.22
67680,308.735,27.895
68040,308.82,28.06
68400,308.47,28.22
68760,308.65,28.38
