#1
double data(5993,3)
0,295.4,52.23
360,295.4,52.23
720,295.4,52.06
1080,295.4,52.41
1440,295.4,52.41
1800,295.4,52.23
2160,295.4,52.23
2520,295.4,52.06
2880,295.4,52.58
3240,295.4,52.23
3600,295.4,52.58
3960,295.4,52.41
4320,295.4,52.41
4680,295.4,52.58
5040,295.4,52.75
5760,Nan,Nan
6120,295.08,52.75
6480,295.08,52.41
6840,295.08,52.93
7200,295.08,52.93
7560,295.08,53.1
7920,295.08,52.93
8280,295.08,53.27
8640,295.08,53.45
9000,295.08,53.1
9360,295.08,53.45
9720,295.08,53.45
10080,Nan,Nan
10800,295.08,53.79
11160,295.08,53.79
11520,295.08,53.45
11880,295.08,53.45
12240,295.08,53.45
12600,294.76,53.62
12960,Nan,Nan
13680,294.76,53.97
14040,294.76,53.79
14400,295.08,54.14
14760,294.76,54.14
15120,294.76,53.62
15480,294.76,53.79
15840,294.76,53.97
17280,294.76,53.97
17640,294.76,54.14
18000,294.76,54.31
18360,294.76,54.31
18720,294.76,54.49
19080,294.76,54.49
19440,294.76,54.66
19800,Nan,Nan
20160,294.76,54.31
20520,294.76,54.49
20880,294.76,54.49
21240,294.76,54.31
21960,Nan,Nan
22320,294.76,54.66
22680,295.08,54.66
23040,295.08,54.14
23760,Nan,Nan
24120,295.08,54.31
24480,295.08,54.14
24840,295.4,53.79
25200,295.4,54.31
25560,295.4,53.97
25920,295.4,53.97
26280,295.4,53.97
27000,295.73,53.97
27360,295.73,53.45
27720,295.73,53.27
28080,296.05,53.1
28440,296.37,53.1
28800,296.69,52.23
29160,297.34,51.89
29520,297.66,51.02
29880,297.66,50.67
30240,297.98,50.32
30600,298.63,49.8
30960,298.63,49.98
31320,298.95,49.46
31680,298.95,49.63
32040,298.95,49.63
32400,298.95,49.63
32760,299.27,48.94
33120,299.27,48.94
33480,Nan,Nan
34200,299.6,49.11
34560,299.27,49.11
34920,299.27,48.94
35280,299.6,48.94
35640,299.6,49.11
36000,299.27,49.11
36360,299.27,48.94
37080,299.6,48.94
37440,299.6,48.24
37800,299.92,48.42
38160,299.92,48.59
38520,299.92,48.07
38880,Nan,Nan
39600,300.24,47.72
39960,300.24,47.55
40320,300.24,47.72
40680,300.24,48.07
41040,300.24,47.72
41400,300.24,47.9
41760,300.24,47.55
42120,300.24,47.55
42480,Nan,Nan
43200,300.56,47.2
43560,300.56,47.38
43920,300.24,46.86
44280,300.24,47.38
44640,300.24,47.03
45000,300.56,46.86
45360,300.56,47.03
45720,300.56,46.86
46080,Nan,Nan
46800,300.24,46.86
47160,300.56,47.03
47520,300.56,46.68
47880,Nan,Nan
48600,300.56,47.03
48960,Nan,Nan
50400,300.89,46.51
50760,Nan,Nan
51480,300.56,46.86
51840,300.24,46.51
52560,Nan,Nan
52920,300.24,47.03
53280,300.24,47.03
54000,300.24,46.86
54360,300.24,47.03
54720,300.24,47.03
55080,300.24,47.03
55440,300.24,46.68
55800,300.56,46.86
56160,300.89,46.34
57600,300.24,46.86
57960,300.24,46.86
58320,300.24,46.34
58680,300.24,46.34
59040,300.56,46.51
59400,300.56,46.51
59760,300.24,46.68
60120,300.24,46.34
60480,300.24,46.68
61200,300.24,46.86
61560,300.24,46.86
61920,300.24,46.86
62280,300.24,46.51
62640,300.24,46.16
63000,299.92,47.03
63360,299.92,46.86
63720,299.92,47.2
64080,Nan,Nan
64800,299.92,46.68
65160,299.92,46.51
65520,299.92,46.51
65880,299.92,46.68
66240,299.92,46.68
66600,299.92,46.68
66960,299.92,46.68
67320,299.92,47.03
67680,Nan,Nan
68760,Nan,Nan
69120,298.95,47.55
69480,298.95,47.72
69840,298.63,47.72
70560,Nan,Nan
70920,298.63,48.24
72000,298.31,48.42
72360,298.31,48.24
72720,298.31,48.07
73800,297.98,48.94
74160,297.66,48.76
74520,297.66,48.94
74880,Nan,Nan
75600,297.34,49.63
75960,297.34,49.8
76320,297.34,49.8
76680,297.34,49.98
77040,297.02,49.8
77400,297.34,49.98
77760,297.34,50.32
78120,297.02,50.5
78480,Nan,Nan
79200,297.02,50.5
79560,297.02,50.67
79920,297.02,50.5
80280,297.02,50.5
80640,297.02,50.32
81000,297.02,50.5
81360,Nan,Nan
82800,296.69,50.5
83160,296.69,51.02
83520,296.69,51.19
83880,296.69,50.84
84240,296.69,50.84
84600,296.69,51.19
84960,296.69,51.19
85320,Nan,Nan
85680,296.69,51.54
86040,296.69,51.54
0,296.37,51.54
360,296.69,51.37
720,296.37,51.37
1080,296.37,51.71
1800,296.37,51.89
2160,296.37,51.54
2520,296.37,51.71
2880,296.37,51.71
3240,296.37,51.71
3600,296.37,51.89
3960,296.37,51.89
4320,296.37,52.06
4680,296.37,51.89
5040,296.37,52.06
5400,296.37,52.06
5760,296.37,51.89
6480,Nan,Nan
6840,296.05,52.06
7920,296.05,52.41
8280,296.05,52.93
8640,296.05,52.93
9000,296.05,52.41
9360,296.05,53.1
9720,296.05,52.93
10080,295.73,53.1
10440,295.73,53.45
10800,296.05,53.45
11160,295.73,53.45
11520,295.73,53.62
11880,295.73,53.27
12240,295.73,53.45
12960,Nan,Nan
13320,295.73,53.45
13680,295.73,53.45
14040,295.73,53.97
14400,295.73,53.62
14760,295.73,53.79
15120,295.73,53.97
15480,295.73,53.45
15840,295.73,53.97
16200,295.73,54.14
16560,295.73,53.62
16920,295.73,53.97
17280,295.73,54.14
17640,295.4,54.31
18000,295.73,54.31
18360,295.4,53.97
18720,295.4,54.31
19080,295.4,54.49
19440,295.4,54.14
19800,295.4,54.83
20160,295.4,54.49
20520,295.4,54.49
20880,295.4,55.01
21240,295.73,54.66
21600,295.4,54.49
21960,295.4,54.83
22320,295.73,54.49
22680,295.73,54.14
23040,295.73,54.14
23400,295.73,54.14
23760,296.05,54.66
24120,296.05,54.31
