#1
double data(2497,3)
0,299.435,40.7
360,299.92,42.69
1080,299.27,38.7
1440,299.11,40.435
1800,299.595,40.7
2160,299.27,40.525
2520,299.27,40.525
2880,299.27,40.35
3240,299.595,40.175
3600,299.27,40.435
3960,299.27,40.44
4320,299.27,40.695
4680,299.11,40.44
5040,299.27,40.44
5400,299.435,40.61
5760,299.27,40.355
6120,299.435,40.61
6480,299.435,40.44
6840,299.11,40.18
7200,299.27,42.17
7560,299.11,40.18
7920,299.435,40.265
8280,299.435,40.61
8640,299.27,40.61
9000,299.11,40.265
9360,299.11,40.61
10080,298.95,42.52
10440,299.11,40.615
10800,299.11,40.96
11160,298.95,40.87
11520,298.95,40.695
11880,298.95,40.955
12240,299.27,41.215
12600,299.11,40.87
12960,299.11,41.045
13680,299.6,43.39
14040,298.95,41.135
14400,298.95,41.395
14760,298.95,41.305
15120,299.11,41.395
15480,298.95,39.4
16200,299.275,41.215
16560,298.95,41.39
16920,298.95,41.045
17280,298.95,39.22
18000,298.95,41.13
18360,299.755,41.215
18720,299.11,41.655
19080,298.95,41.655
19440,298.79,41.655
20160,Nan,Nan
20520,298.79,41.825
20880,Nan,Nan
21600,298.95,41.655
21960,299.11,41.565
22320,298.95,41.915
22680,298.79,41.74
23040,299.11,41.565
23400,298.95,41.915
23760,298.79,42
24120,299.11,41.655
24480,298.79,41.83
24840,298.79,41.565
25200,298.79,42
25560,298.79,41.825
25920,298.95,41.825
26280,299.11,41.74
26640,298.95,41.74
27000,298.95,42
27360,298.95,41.565
27720,298.95,41.915
28080,Nan,Nan
28800,298.79,41.825
29160,298.95,41.825
29520,298.95,41.74
29880,298.95,41.475
30240,298.95,41.215
30600,298.95,41.65
30960,Nan,Nan
31680,299.11,41.39
32040,298.95,41.13
32400,298.95,41.22
32760,298.95,41.13
33120,299.27,41.135
33480,299.11,41.565
33840,298.95,41.565
34200,298.95,40.615
34560,298.95,41.045
34920,298.95,41.13
35280,298.95,41.22
35640,299.435,41.48
36000,298.95,41.215
36360,298.95,41.48
36720,299.27,41.305
37080,299.27,38.53
37440,299.6,40.87
39600,299.6,40.44
39960,299.92,42.52
40320,299.76,40.265
40680,299.76,40.44
41040,299.435,40.61
41400,299.76,40.61
41760,299.435,40.61
42120,299.6,41.045
42480,299.435,40.87
43200,299.435,40.61
43560,299.435,40.785
43920,299.76,40.96
44280,299.76,40.695
44640,299.76,41.305
46800,299.76,41.565
47160,300.24,41.305
47520,300.24,40.87
47880,300.24,41.13
48240,300.725,40.785
58680,299.6,50.84
59040,299.275,54.485
59400,299.435,54.575
59760,299.115,55.095
60120,299.115,55.01
60480,299.115,55.01
60840,299.275,54.835
61200,300.08,54.66
61560,299.435,54.225
61920,299.115,54.225
62280,299.115,54.23
62640,299.275,53.79
63000,298.95,53.88
63360,299.435,53.88
63720,299.11,54.14
64080,298.79,54.225
64440,298.79,54.485
64800,298.79,54.49
65160,298.79,54.575
65520,298.79,54.575
65880,Nan,Nan
66600,298.79,54.745
66960,298.625,54.575
67320,298.465,54.485
67680,298.465,54.66
68040,298.465,54.4
68400,298.465,54.66
68760,297.98,58.13
69120,298.63,54.49
69480,298.465,54.485
69840,298.95,54.485
70200,298.465,54.66
70560,298.79,54.49
70920,298.79,54.225
71280,298.95,50.5
72000,298.465,54.14
72360,298.145,54.23
72720,298.305,53.88
73080,298.465,53.53
73440,298.145,53.965
73800,298.305,53.965
74160,298.47,53.535
74520,298.465,52.84
