#1
double data(5823,3)
0,314.8,24.19
360,314.98,24.19
720,315.15,24.19
1080,314.98,24.19
1440,314.98,24.19
1800,315.15,24.19
2160,314.98,24.19
2520,314.98,24.19
2880,314.98,24.19
3240,315.15,24.19
3600,315.15,24.19
3960,315.32,24.19
4320,315.5,24.19
4680,315.5,24.19
5040,315.15,24.19
5400,315.15,24.19
5760,315.67,24.19
6120,315.15,24.19
6480,315.32,24.19
6840,315.15,23.87
7200,315.32,24.19
7560,315.15,23.87
7920,315.5,24.19
8280,315.84,23.87
8640,315.5,23.87
9000,315.67,23.87
9360,315.84,23.87
9720,315.67,23.87
10080,315.84,23.87
10440,315.5,23.87
10800,316.02,23.87
11160,316.02,23.87
11520,316.02,23.87
11880,Nan,Nan
12600,315.84,23.87
12960,315.67,23.87
13320,Nan,Nan
13680,316.02,23.87
14040,316.36,23.87
15120,316.36,23.87
15480,316.36,23.87
15840,316.02,23.87
16200,316.02,23.87
16560,316.02,23.87
16920,316.54,23.87
17280,316.36,23.87
17640,316.02,23.87
18000,316.19,23.87
18360,316.19,23.54
18720,316.54,23.54
19080,316.19,23.87
19440,316.36,23.87
20520,316.71,23.87
20880,316.36,23.87
21240,316.71,23.54
21600,316.36,23.54
21960,316.54,23.87
22320,316.36,23.54
22680,316.88,23.54
23040,316.71,23.87
23400,316.54,23.54
23760,317.06,23.54
24120,316.71,23.87
24480,316.88,23.87
24840,317.06,23.87
25200,317.23,23.87
25560,316.88,23.87
25920,316.71,23.87
26280,316.54,23.87
26640,316.88,23.87
27000,317.06,23.87
27360,316.88,23.87
27720,317.4,23.87
28080,317.4,23.87
28440,317.23,23.87
28800,317.06,23.87
29160,316.71,23.87
29880,316.71,23.87
30240,316.71,24.19
30600,316.71,24.19
30960,316.54,24.19
31320,316.88,24.19
31680,316.54,24.19
32040,316.71,24.19
32400,316.36,24.19
33480,316.54,24.19
33840,316.36,24.51
34200,316.54,24.51
34560,316.19,24.51
34920,316.19,24.51
36000,316.19,24.51
36360,316.36,24.83
36720,316.02,24.83
37080,316.02,24.83
37440,315.67,25.16
37800,315.84,25.16
38160,315.15,25.16
38520,315.32,25.16
38880,Nan,Nan
39600,Nan,Nan
39960,314.98,25.48
41040,314.46,25.8
41400,313.94,25.8
41760,313.94,26.12
43200,313.76,26.45
43560,313.59,26.45
43920,313.94,26.45
44280,314.11,26.45
44640,313.42,26.45
45000,313.76,26.45
45360,313.24,26.77
45720,313.42,26.77
46080,312.9,26.77
46800,312.72,27.09
47160,312.9,27.09
47520,312.37,27.09
47880,312.37,27.09
48240,312.37,27.09
48600,312.37,27.41
48960,312.2,27.41
49320,312.2,27.41
51480,312.03,27.41
51840,312.03,27.74
52200,311.85,27.74
52560,311.85,27.74
54000,311.85,27.74
54360,311.68,27.74
55080,311.68,27.74
55440,312.2,27.74
55800,312.2,27.41
56160,312.37,27.41
56520,312.2,27.41
57600,312.37,27.41
58680,312.03,27.41
59040,312.2,27.41
59400,312.03,27.41
59760,312.72,27.41
60120,312.55,27.41
61200,312.2,27.09
61560,312.55,27.09
61920,312.55,27.09
62280,312.03,27.09
62640,312.55,27.09
63000,312.55,27.09
63360,312.72,27.09
63720,312.37,27.09
64800,312.37,26.77
65160,312.55,26.77
65520,312.55,26.77
65880,Nan,Nan
66240,312.72,26.77
66600,312.2,26.77
66960,312.72,26.77
67320,312.2,26.77
67680,312.55,26.77
68400,312.37,26.77
68760,312.55,26.45
69120,312.55,26.45
69480,312.55,26.45
69840,312.9,26.45
70200,313.24,26.45
70560,313.07,26.45
70920,312.9,26.45
71280,312.9,26.12
72000,313.24,26.12
72360,313.24,26.12
72720,313.24,26.12
73080,313.59,26.12
73440,313.59,26.12
74520,313.76,25.8
74880,Nan,Nan
75600,313.94,25.8
75960,314.46,25.8
76320,313.94,25.8
76680,314.11,25.8
77040,314.11,25.8
77400,314.46,25.8
77760,314.46,25.8
78120,314.63,25.8
78480,Nan,Nan
79200,314.46,25.8
79560,314.11,25.48
79920,314.8,25.48
80280,314.63,25.48
80640,314.63,25.48
81000,314.63,25.48
81360,314.46,25.48
81720,314.46,25.48
82800,314.28,25.48
83160,314.46,25.48
83520,314.46,25.48
83880,314.46,25.48
84240,314.63,25.48
84600,314.46,25.48
84960,314.8,25.16
85320,315.15,25.48
85680,314.98,25.16
86040,314.98,25.16
0,314.8,25.16
360,314.63,25.16
720,315.32,25.16
1080,314.98,25.16
1440,315.15,25.16
2160,314.8,25.16
2520,315.32,25.16
2880,314.8,25.16
3240,315.32,25.16
3600,315.32,25.16
3960,314.8,25.16
4320,315.5,25.16
4680,315.5,25.16
5040,315.15,25.16
5400,315.67,25.16
6480,Nan,Nan
6840,315.32,25.16
7200,315.15,25.16
7560,314.98,25.16
7920,315.15,25.16
8280,315.67,25.16
8640,315.84,24.83
9000,315.32,24.83
9360,315.32,24.83
9720,315.84,24.83
10080,315.5,24.83
10440,316.02,24.83
10800,316.02,24.83
11160,315.5,24.83
11520,316.02,24.83
11880,316.02,24.83
12240,315.84,24.83
12600,316.36,24.83
