#1				
double data(1418,5)				
0	297.985	59.96	299.29	301.45
360	297.985	59.96	299.29	301.36
720	298.145	59.64	299.29	301.3
1080	298.145	59.64	299.28	301.21
1440	298.145	59.8	299.28	301.33
1800	298.145	59.48	299.28	301.43
2160	298.305	59.64	299.27	301.26
2520	297.985	58.85	299.27	301.39
2880	298.145	58.85	299.27	301.37
3240	297.985	58.85	299.27	301.43
3600	298.145	58.7	299.26	301.4
3960	297.985	59.01	299.26	301.46
4320	297.985	58.85	299.26	301.42
4680	273.15	58.85	299.26	301.16
5400	297.985	58.54	299.26	301.27
5760	298.145	58.54	299.26	301.17
6120	297.985	58.54	299.26	301.11
6480	297.985	58.22	299.26	301.17
6840	297.985	58.38	299.26	301.11
7200	297.985	58.38	299.26	301.08
7560	297.985	58.7	299.26	301.09
7920	297.985	58.85	299.26	301.1
8280	273.15	58.85	299.25	273.15
9000	297.66	58.54	299.25	300.96
9360	297.985	54.745	299.25	300.73
10080	297.66	58.85	299.24	300.72
10440	297.985	59.17	299.24	300.52
10800	297.985	57.59	299.24	300.4
11160	297.985	58.54	299.23	300.39
11520	297.985	58.38	299.23	300.26
11880	297.985	58.07	299.22	300.23
12240	297.985	58.38	299.22	300.13
12600	297.82	57.91	299.21	300.1
12960	297.985	58.07	299.21	300.02
13320	298.145	57.91	299.2	300.09
13680	297.985	57.44	299.2	300.09
14040	297.82	57.75	299.2	300.04
14400	297.985	57.59	299.2	300.23
14760	298.145	54.485	299.19	300.29
15120	297.985	57.59	299.19	300.17
15480	297.82	57.91	299.18	299.79
15840	297.985	57.59	299.18	300.04
16200	297.82	57.59	299.17	299.95
16560	297.82	57.44	299.16	299.89
16920	297.82	57.59	299.16	299.84
17280	297.82	57.28	299.15	299.88
17640	297.985	57.12	299.15	299.79
18360	297.985	54.14	299.04	299.21
18720	297.82	57.44	299.13	299.56
19080	297.66	57.59	299.13	299.55
19440	297.66	57.28	299.13	299.62
19800	297.66	57.28	299.12	299.64
20160	298.79	57.12	299.11	299.63
20520	297.985	58.22	299.11	299.63
20880	297.82	57.91	299.1	299.6
21240	297.985	58.07	299.1	299.53
21600	297.66	58.22	299.1	299.43
21960	298.305	57.75	299.09	299.37
22320	297.985	58.22	299.09	299.39
22680	297.985	58.38	299.09	299.44
23040	298.305	58.07	299.09	299.5
23400	297.985	57.91	299.09	299.59
23760	298.145	57.75	299.09	299.67
24120	298.145	58.22	299.09	299.78
24480	298.145	59.17	299.1	299.96
24840	298.145	57.44	299.1	300.15
25200	298.145	56.8	299.11	300.36
25560	298.305	56.8	299.12	300.64
25920	298.305	56.8	299.12	300.89
26280	298.465	56.96	299.13	301.13
26640	298.465	56.65	299.13	302.81
27000	298.63	56.17	299.15	305.08
27360	298.63	56.49	299.17	306.34
27720	298.79	56.96	299.19	307.17
28080	273.15	56.96	299.09	273.15
29160	299.11	50.585	299.28	273.15
29520	298.31	56.96	299.31	307.03
29880	301.21	57.12	299.34	306.34
30240	299.275	55.23	299.37	305.85
30600	299.435	53.81	299.39	305.7
30960	300.24	54.28	299.29	305.89
31680	298.31	53.97	273.15	305.71
32040	300.245	55.07	299.48	306.24
32400	299.6	54.75	299.51	306.42
32760	301.375	55.39	299.53	306.65
33120	299.595	55.39	299.57	306.68
33480	299.76	55.07	299.6	306.67
33840	299.595	55.23	299.64	306.94
36000	299.595	55.39	299.83	307.5
36360	299.6	55.39	299.84	307.56
36720	301.21	55.54	299.82	307.76
37080	273.15	55.54	299.82	307.79
37800	299.595	55.23	299.88	307.77
38160	299.275	55.23	299.91	307.82
38520	299.435	55.54	299.9	307.75
38880	300.08	55.7	299.91	307.9
39240	299.595	55.7	299.94	308.16
39600	298.63	56.8	299.98	308.13
39960	300.24	46.16	300.01	308.12
43200	297.66	63.58	299.41	308.17
43560	298.305	63.74	299.37	307.93
43920	297.335	63.74	299.32	308.29
44280	297.335	63.27	299.29	308.47
44640	297.015	62.95	299.26	308.42
45000	297.34	64.37	299.22	308.24
45360	297.175	65	299.2	308.37
45720	297.175	65.48	299.17	308.57
46080	297.175	64.85	299.14	308.7
46440	297.175	64.53	299.13	308.5
46800	297.5	64.37	299.1	308.47
47160	297.175	64.69	299.07	308.62
47520	297.175	57.78	299.07	308.86
47880	297.015	64.06	299.05	308.92
48240	297.175	65.32	299.03	308.77
48600	297.175	64.69	299.02	308.65
48960	297.175	65.32	299.01	308.86
49320	297.335	65	299	308.91
49680	297.175	65	298.99	308.88
50040	296.37	65.79	298.98	308.79
50760	296.37	61.77	298.75	309.21
51120	297.335	65.48	298.95	309.44
51480	297.335	65.79	298.95	309.39
51840	297.175	65.48	298.94	309.24
52200	297.66	65.95	298.94	309.31
52560	297.335	66.11	298.94	309.23
52920	297.335	65.95	298.93	309.18
53280	297.335	66.58	298.93	309.08
53640	297.335	66.26	298.94	309
54000	297.5	66.42	298.94	308.9
54360	297.665	64.85	298.95	308.94
54720	298.145	62.01	299.01	308.78
55080	298.79	61.38	299.09	308.96
55440	298.63	61.06	299.16	308.78
56160	297.98	59.52	299.3	308.62
56520	298.79	61.22	299.36	308.6
56880	298.955	60.9	299.42	308.73
57240	298.955	60.27	299.48	308.8
57600	299.275	60.12	299.53	308.73
57960	299.435	60.43	299.58	308.54
58320	299.115	60.75	299.64	308.37
58680	299.115	60.9	299.68	308.32
59040	299.115	60.27	299.71	308.51
59400	299.275	61.69	299.72	308.04
59760	299.595	60.75	299.76	308.2
60120	298.31	60.9	299.79	308.17
60480	299.92	62.01	299.81	307.96
60840	299.115	61.53	299.83	307.81
